Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate,Rating_Count
Coven and Labyrinth of Refrain (Chinese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA09271_00-ASIAPLACEHOLDER0,0.6,398,159.2,14/2/2024 03:59 PM UTC,4.8,791,Adventure,28/09/2017,791
"DARIUSBURST ANOTHER CHRONICLE EX+ (Korean, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA25934_00-DARIUSBURSTACE00,0.6,278,111.2,14/2/2024 03:59 PM UTC,4.71,45,Shooter,17/03/2021,45
DESTINY CONNECT (Chinese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA14719_00-0000000000000000,0.6,385,154,14/2/2024 03:59 PM UTC,4.38,87,Role Playing Games,30/05/2019,87
DISGAEA Refine (Chinese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA12391_00-DISGAEA1HDPS4000,0.6,428,171.2,14/2/2024 03:59 PM UTC,4.59,331,Role Playing Games,09/08/2018,331
"Empire of Sin (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA25371_00-EMPIREOFSINAS001,0.3,298,208.6,14/2/2024 03:59 PM UTC,3.63,1.3k,Unique,24/02/2021,1300
Funifuni set (Chinese/Korean Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA12281_00-DLCSET0000000001,0.55,262,117.9,14/2/2024 03:59 PM UTC,5,2,Action,31/01/2019,0
"G-Darius HD (Korean, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA25933_00-GDARIUSHD0000000,0.6,278,111.2,14/2/2024 03:59 PM UTC,4.77,70,Shooter,17/03/2021,70
Hakoniwa Company Works (Chinese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA09533_00-ASIAPLACEHOLDER0,0.6,398,159.2,14/2/2024 03:59 PM UTC,3.07,102,Role Playing Games,30/11/2017,102
HUMANKIND™ Heritage Edition PS4 & PS5 (English),SEGA EUROPE LTD,https://store.playstation.com/en-hk/product/EP0177-PPSA06186_00-EUHKHERITAGEEDTN,0.5,398,199,14/2/2024 03:59 PM UTC,3.62,263,"Strategy, Simulation",22/08/2023,263
HUMANKIND™ PS4 & PS5 (English),SEGA EUROPE LTD,https://store.playstation.com/en-hk/product/EP0177-PPSA06186_00-HUMANKINDEU00000,0.5,328,164,14/2/2024 03:59 PM UTC,3.62,263,"Strategy, Simulation",22/08/2023,263
SEGA Mega Drive Classics (English),SEGA CORPORATION,https://store.playstation.com/en-hk/product/EP0177-CUSA09771_00-ASIA000000000000,0.7,228,68.4,14/2/2024 03:59 PM UTC,4.23,3.2k,Arcade,03/08/2018,3200
"SENRAN KAGURA Burst Re:Newal (Korean, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA11307_00-ASIAPLACEHOLDER0,0.55,458,206.1,14/2/2024 03:59 PM UTC,4.71,1.8k,Action,17/05/2018,1800
"SENRAN KAGURA Burst Re:Newal NyuNyu PS Store Special Pack (Korean, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA11307_00-ASIAPLACEHOLDER1,0.6,558,223.2,14/2/2024 03:59 PM UTC,4.71,1.8k,Action,17/05/2018,1800
SNK HEROINES Tag Team Frenzy (English/Chinese/Korean/Japanese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA12571_00-SNKHEROINESPS400,0.7,328,98.4,14/2/2024 03:59 PM UTC,4.23,494,"Action, Fighting",05/09/2018,494
"Sonic Colors: Ultimate (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/JP0177-CUSA19429_00-SONICCOLORSULTIM,0.6,298,119.2,14/2/2024 03:59 PM UTC,4.22,2.4k,Action,08/09/2021,2400
